Model,Accuracy,Precision,Recall,F1_Score,CV_Mean,CV_Std
Random Forest,0.9291666666666667,0.9307057057057057,0.9291666666666667,0.9269074074074074,0.9302083333333332,0.00966001926614134
XGBoost,0.925,0.926241815586078,0.925,0.9235496593073649,0.9166666666666666,0.0
Logistic Regression,0.8416666666666667,0.8349304813429512,0.8416666666666667,0.8284963304318143,0.8302083333333334,0.02647555213987257
SVM,0.8458333333333333,0.8477585961921001,0.8458333333333333,0.8277791963382225,0.846875,0.013420936173671993
Decision Tree,0.8708333333333333,0.8705176767676768,0.8708333333333333,0.8703599240265908,0.8822916666666666,0.014206439267693589
KNN,0.7875,0.777062083503332,0.7875,0.7468188181550252,0.7802083333333334,0.021194781197266453
Gradient Boosting,0.9333333333333333,0.9334220103666163,0.9333333333333333,0.9321002061529194,0.928125,0.012058163440406488
Naive Bayes,0.7333333333333333,0.8057606263982103,0.7333333333333333,0.747582304526749,0.6697916666666667,0.12235039050021686
